,acc,loss,val_acc,val_loss
0,0.29894,1.8559117250823975,0.4254,1.5410149908065796
1,0.45079999996185305,1.488526567993164,0.5181,1.32139461479187
2,0.528480000038147,1.3062455337524415,0.5546,1.233766795730591
3,0.5811399999809265,1.1761363409042358,0.6132,1.0794139907836915
4,0.613379999961853,1.0884982471847535,0.6523,0.9745890716552734
5,0.6404,1.020477977256775,0.6653,0.9413832862854004
6,0.653480000038147,0.9858956527519226,0.6852,0.8829821666717529
7,0.673260000038147,0.9226639099121093,0.692,0.8765341012954712
8,0.688359999961853,0.8828589296340943,0.7095,0.8272244403839112
9,0.6988200000190735,0.8491590700149536,0.7335,0.7704273754119874
10,0.7132200000190735,0.8094634864425659,0.7345,0.7672488101005555
11,0.72012,0.7926415824890136,0.7504,0.7259946546554565
12,0.733399999961853,0.7563263527297973,0.755,0.6943426935195923
13,0.742160000038147,0.7385623971939087,0.7632,0.6795007669448853
14,0.7481199999618531,0.71838490234375,0.7648,0.6783238751411438
15,0.7565600000190735,0.7002705708694458,0.7695,0.6617309017181396
16,0.7612200000381469,0.6805904683494568,0.7788,0.6345507307052612
17,0.7651000000190735,0.6690356296539307,0.775,0.644950880241394
18,0.768820000038147,0.6584030096244812,0.7827,0.6337462105751037
19,0.77594,0.6409904488945007,0.7821,0.6267385677337647
20,0.780039999961853,0.6307685853004456,0.783,0.6201503841400147
21,0.7874999999809266,0.6117809488487244,0.7935,0.6001672121047974
22,0.7884,0.6006629548835755,0.7962,0.5912085223197937
23,0.7938200000190735,0.5928137077522277,0.791,0.6137630727767944
24,0.796460000038147,0.5843490440368653,0.7985,0.5878036354064942
25,0.8008600000190735,0.5698040060615539,0.7902,0.630379048538208
26,0.8018399999618531,0.567482686920166,0.8034,0.5758194519042968
27,0.805539999961853,0.5575563987922668,0.8063,0.5668468563079834
28,0.8053599999809266,0.5536576934623718,0.8118,0.5535500102996826
29,0.8100800000190734,0.5388271969223023,0.8101,0.5550374687194825
30,0.812240000038147,0.5415502687454223,0.8084,0.5585403684616089
31,0.814420000038147,0.5255420684814454,0.8056,0.5798754568099975
32,0.81706,0.5214508951568604,0.8114,0.5517041968345642
33,0.8190000000190735,0.5154281413841247,0.8115,0.5471159498214722
34,0.82204,0.5147820868492127,0.8141,0.5503928171157837
35,0.82604,0.4997886134147644,0.8121,0.5583382833480834
36,0.8242600000190735,0.5002368139743805,0.8142,0.5469184923171997
37,0.82784,0.49236278031349184,0.8212,0.532789856338501
38,0.8286000000190735,0.4913772632408142,0.8109,0.5711085682868957
39,0.8290000000190735,0.4883275699806213,0.8155,0.5461171929359436
40,0.8312800000190735,0.48013214853286745,0.8216,0.5289317693710327
41,0.83448,0.4757657509613037,0.8205,0.5351737829208374
42,0.83428,0.47273291421890257,0.8178,0.5387990755081177
43,0.836100000038147,0.4651881784820557,0.8165,0.5411172550201416
44,0.835760000038147,0.465365270318985,0.8196,0.5489027148246766
45,0.838500000038147,0.4624969458580017,0.8222,0.5379487173080444
46,0.83864,0.46083424186706545,0.8264,0.5167681146621704
47,0.84116,0.4544549747467041,0.824,0.5301811937332154
48,0.8402799999809265,0.45630349844932555,0.817,0.5539741862297058
49,0.843400000038147,0.44452790557861327,0.8259,0.5141299024581909
