,acc,loss,lr,val_acc,val_loss
0,0.46077999996185304,1.6517434885406495,0.0010000000474974513,0.429,1.7416477178573608
1,0.6191,1.2195716091537476,0.0010000000474974513,0.608,1.2490509823799134
2,0.69156,1.0245064992904662,0.0010000000474974513,0.5534,1.538281201171875
3,0.7409200000190734,0.8873197017288208,0.0010000000474974513,0.6968,1.0188832723617554
4,0.7798600000381469,0.7827738770484924,0.0010000000474974513,0.694,1.0751977279663085
5,0.80712,0.7080804332923889,0.0010000000474974513,0.4614,2.4514237808227537
6,0.83114,0.6378446584701538,0.0010000000474974513,0.6882,1.1029152645111084
7,0.851599999961853,0.5814992600631714,0.0010000000474974513,0.6949,1.1609241770744323
8,0.868159999961853,0.5346873080444335,0.0003162277862429619,0.6784,1.2192343608379363
9,0.88176,0.4964359143924713,0.0010000000474974513,0.7296,1.0914563583374024
10,0.89578,0.4566460800361633,0.0010000000474974513,0.7193,1.0924949135780335
11,0.9093800000190735,0.42180778369903565,0.0010000000474974513,0.6716,1.466958443069458
12,0.918879999961853,0.39902238375663757,0.0010000000474974513,0.6154,1.7583569997787476
13,0.9266200000190735,0.37681401496887207,0.0003162277862429619,0.681,1.5476900762557984
14,0.936239999961853,0.3538120680522919,0.0010000000474974513,0.6742,1.6417649080276489
15,0.940580000038147,0.34524808361053466,0.0010000000474974513,0.7103,1.370321795272827
16,0.943860000038147,0.3353909820556641,0.0010000000474974513,0.7291,1.3225519487380981
17,0.9521400000190735,0.3163383492088318,0.0010000000474974513,0.6854,1.6565930397987365
18,0.95168,0.3157280322551727,0.0003162277862429619,0.6843,1.748719152069092
19,0.9541,0.3111650447177887,0.0010000000474974513,0.6773,1.7914925808906554
20,0.9565800000190735,0.3068442783546448,0.0010000000474974513,0.6207,2.1554080669403075
21,0.958239999961853,0.3010708829689026,0.0010000000474974513,0.6637,1.8243114387512207
22,0.9573800000381469,0.3027356000137329,0.0010000000474974513,0.6432,2.247916022491455
23,0.96102,0.2981864771556854,0.0003162277862429619,0.7438,1.3747126016616822
24,0.961759999961853,0.29412513102531435,0.0010000000474974513,0.7032,1.7070506456375123
25,0.9645800000381469,0.28773840181350707,0.0010000000474974513,0.6506,2.4009507766723632
26,0.962240000038147,0.29634926924705507,0.0010000000474974513,0.6957,1.6302523292541504
27,0.9633600000381469,0.2907904772758484,0.0010000000474974513,0.6425,2.3697557174682617
28,0.96612,0.2882017537975311,0.0003162277862429619,0.6967,1.8132596769332885
29,0.9637200000190735,0.2964290717029572,0.0010000000474974513,0.6856,1.9574003047943116
